Item,Hours
Django Learning Sample Project,8
Django Planning Backend,2
Django File Reading/Wrapper and Validation,6
Django Rest Framework,4
Django Session Management,4
React Learning Sample Project,8
React Implementation,8
Docker Learning,8
Docker Implementation,4
Documentation & Code Cleanning,4
